ID,helpful,time
"page load",,02-23--12-40-24pm
33,yes,02-23--12-40-28pm
33,no,02-23--12-40-28pm
"page load",,02-23--01-09-05pm
"page load",,02-23--01-19-07pm
"page load",,02-23--01-22-54pm
"page load",,02-23--01-24-09pm
38,yes,02-23--01-24-48pm
"page load",,02-23--01-59-37pm
"page load",,02-23--01-59-48pm
45,yes,02-23--02-00-10pm
45,no,02-23--02-00-45pm
"page load",,02-23--02-10-34pm
"page load",,02-23--02-35-27pm
"page load",,02-23--02-35-44pm
38,yes,02-23--02-35-48pm
38,no,02-23--02-35-49pm
"page load",,02-23--02-48-03pm
41,yes,02-23--02-48-14pm
41,no,02-23--02-48-35pm
38,yes,02-23--02-49-31pm
43,yes,02-23--02-49-40pm
37,yes,02-23--02-49-46pm
40,yes,02-23--02-49-51pm
6,yes,02-23--02-50-13pm
9,yes,02-23--02-50-14pm
7,yes,02-23--02-50-14pm
22,yes,02-23--02-50-51pm
22,no,02-23--02-50-51pm
3,yes,02-23--02-54-28pm
23,yes,02-23--02-54-38pm
19,yes,02-23--02-55-28pm
12,yes,02-23--02-55-49pm
18,yes,02-23--02-56-32pm
17,yes,02-23--02-56-35pm
55,yes,02-23--02-56-53pm
50,yes,02-23--02-56-56pm
"page load",,02-23--03-14-06pm
"page load",,02-23--03-24-52pm
43,yes,02-23--03-24-56pm
43,no,02-23--03-24-56pm
"page load",,02-23--04-13-39pm
38,yes,02-23--04-13-44pm
38,no,02-23--04-13-44pm
38,yes,02-23--04-13-45pm
38,no,02-23--04-13-45pm
"page load",,02-23--04-39-44pm
"page load",,02-23--05-06-01pm
"page load",,02-23--05-06-20pm
"page load",,02-23--05-35-55pm
"page load",,02-23--06-14-55pm
"page load",,02-23--06-19-34pm
"page load",,02-23--07-03-43pm
"page load",,02-23--07-04-01pm
"page load",,02-23--07-04-38pm
"page load",,02-23--07-36-19pm
"page load",,02-23--08-22-32pm
"page load",,02-23--09-37-47pm
"page load",,02-23--09-38-55pm
"page load",,02-23--09-39-03pm
"page load",,02-23--09-47-24pm
"page load",,02-23--10-19-33pm
"page load",,02-23--10-54-33pm
38,yes,02-23--10-54-46pm
38,no,02-23--10-54-48pm
"page load",,02-23--11-14-49pm
"page load",,02-23--11-49-05pm
"page load",,02-24--01-23-28am
"page load",,02-24--07-44-28am
"page load",,02-24--12-16-28pm
"page load",,02-24--12-18-32pm
38,yes,02-24--12-19-17pm
38,no,02-24--12-19-18pm
"page load",,02-24--02-21-37pm
"page load",,02-25--01-34-20am
"page load",,02-27--06-46-02pm
"page load",,03-02--02-06-02pm
45,yes,03-02--02-06-12pm
45,no,03-02--02-06-13pm
"page load",,03-02--07-26-44pm
"page load",,03-13--08-29-00pm
"page load",,03-20--01-00-47pm
"page load",,06-09--06-07-19am
"page load",,06-11--05-07-49am
"page load",,07-01--05-32-21am
"page load",,07-21--07-49-40am
"page load",,08-06--03-37-58am
"page load",,08-18--04-33-17pm
"page load",,09-03--06-43-57pm
"page load",,09-18--02-46-09am
"page load",,09-19--02-29-33am
"page load",,09-25--07-44-31am
"page load",,10-06--02-43-09am
"page load",,10-17--08-56-46pm
"page load",,10-22--09-13-51am
"page load",,10-23--07-50-46am
"page load",,10-27--05-48-20am
"page load",,10-31--02-34-09am
"page load",,11-11--11-10-19am
"page load",,11-13--05-53-18am
"page load",,11-15--08-21-41am
"page load",,11-19--04-20-28pm
"page load",,11-19--06-16-57pm
"page load",,11-29--11-39-30pm
"page load",,12-04--01-45-15pm
"page load",,12-13--01-00-53pm
